"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0T9N0","2020-04-30 00:00:00","261.000","76.000","0.600","19.600","0.950","989.200","","0.000","-99.000","-99.000","-99.000","26.600","","14.900",""
"CM0180","2020-04-30 00:00:00","313.000","0.000","0.200","21.700","0.860","981.900","","0.000","-99.000","-99.000","-99.000","33.400","","18.500",""
"C0Z070","2020-04-30 00:00:00","247.000","0.000","0.000","19.000","0.990","990.200","","0.000","-99.000","-99.000","-99.000","27.000","","15.700",""
"C0Z280","2020-04-30 00:00:00","224.000","184.000","0.300","19.100","0.990","994.700","","0.000","-99.000","-99.000","-99.000","25.500","","15.400",""
"C0SA40","2020-04-30 00:00:00","200.000","0.000","0.000","19.700","0.950","996.300","","0.000","-99.000","-99.000","-99.000","26.500","","15.400",""
"C0V440","2020-04-30 00:00:00","27.000","0.000","0.000","25.000","0.830","1013.000","","0.000","-99.000","-99.000","-99.000","31.100","","23.000",""
"C0R490","2020-04-30 00:00:00","49.000","331.000","0.400","24.300","0.850","1010.300","","0.000","-99.000","-99.000","-99.000","32.000","","22.100",""
"C0B010","2020-04-30 00:00:00","38.000","283.000","2.200","24.200","0.690","1009.600","","0.000","-99.000","-99.000","-99.000","27.700","","22.300",""
"C0X230","2020-04-30 00:00:00","29.000","60.000","0.500","22.000","0.880","1014.600","","0.000","-99.000","-99.000","-99.000","28.400","","20.500",""
"C0S770","2020-04-30 00:00:00","375.000","0.000","0.100","19.600","0.890","975.400","","0.000","-99.000","-99.000","-99.000","23.500","","19.000",""
"C0H890","2020-04-30 00:00:00","440.000","0.000","0.000","20.000","0.840","966.600","","0.000","-99.000","-99.000","-99.000","29.700","","18.300",""
"C0K480","2020-04-30 00:00:00","56.000","167.000","0.900","22.500","0.990","1009.800","","0.000","-99.000","-99.000","-99.000","27.900","","20.500",""
"C0R540","2020-04-30 00:00:00","17.000","58.000","0.600","24.800","0.770","1014.000","","0.000","-99.000","-99.000","-99.000","29.200","","22.400",""
"C0Z160","2020-04-30 00:00:00","124.000","271.000","1.100","19.100","0.970","1007.800","","0.000","-99.000","-99.000","-99.000","24.900","","15.900",""
"C0AH50","2020-04-30 00:00:00","275.000","99.000","1.900","21.700","0.810","984.900","","0.000","-99.000","-99.000","-99.000","27.300","","20.300",""
"C0F850","2020-04-30 00:00:00","379.000","0.000","0.200","19.400","0.880","973.300","","0.000","-99.000","-99.000","-99.000","29.500","","18.200",""
"C0G800","2020-04-30 00:00:00","15.000","0.000","0.000","21.700","0.990","1014.500","","0.000","-99.000","-99.000","-99.000","26.300","","19.900",""
"C0U890","2020-04-30 00:00:00","116.000","263.000","1.300","19.700","0.990","1006.200","","0.000","-99.000","-99.000","-99.000","25.300","","18.400",""
"C0X280","2020-04-30 00:00:00","22.000","0.000","0.000","22.900","0.850","1014.300","","0.000","-99.000","-99.000","-99.000","26.300","","22.000",""
"C0AH40","2020-04-30 00:00:00","426.000","3.000","1.000","20.500","0.850","964.800","","0.000","-99.000","-99.000","-99.000","25.800","","19.900",""
"C0T9A0","2020-04-30 00:00:00","498.000","0.000","0.000","18.000","0.990","962.800","","0.500","-99.000","-99.000","-99.000","23.500","","15.800",""
"C0R730","2020-04-30 00:00:00","163.000","73.000","5.700","22.600","0.790","998.100","","0.000","11.900","74.000","","28.500","","21.600",""
"C0K390","2020-04-30 00:00:00","31.000","163.000","0.800","21.600","0.940","1013.000","","0.000","-99.000","-99.000","-99.000","28.000","","20.000",""
"C0I540","2020-04-30 00:00:00","3344.000","-99.000","-99.000","3.000","0.400","685.500","","-99.000","-99.000","-99.000","-99.000","8.800","","-0.200",""
"C0G890","2020-04-30 00:00:00","24.000","0.000","0.000","23.200","0.960","1013.300","","0.000","-99.000","-99.000","-99.000","25.500","","21.300",""
